Protein	Organism_Name	Length	Host	Tissue_Specimen_Source	Geo_Location	Species
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151			Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	94			Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	72	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	66	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	66	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	66	Homo sapiens		Argentina	Alphapapillomavirus 9
E6	Human papillomavirus type 16	151	Homo sapiens		Argentina	Alphapapillomavirus 9
E7	Human papillomavirus type 16	66	Homo sapiens		Argentina	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		China	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		China	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		China	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		China	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		China	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		China	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	474	Homo sapiens		China	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus type 16	531	Homo sapiens	cervix	Iran	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	5	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
major capsid protein	Human papillomavirus type 16	46	Homo sapiens		Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	158	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	52	Homo sapiens		Mexico	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Pakistan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	669	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	670	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
